"title","vote_average","release_date","revenue","budget","original_language","overview","genres"
"Zero Dark Thirty",6.989,"2012-12-19",132800000,40000000,"en","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May, 2011.","Thriller, Drama"
"Jack Reacher",6.62,"2012-12-20",218300000,60000000,"en","One morning in an ordinary town, five people are shot dead in a seemingly random attack. All evidence points to a single suspect: an ex-military sniper who is quickly brought into custody. The interrogation yields one written note: 'Get Jack Reacher!'. Reacher, an enigmatic ex-Army investigator, believes the authorities have the right man but agrees to help the sniper's defense attorney. However, the more Reacher delves into the case, the less clear-cut it appears. So begins an extraordinary chase for the truth, pitting Jack Reacher against an unexpected enemy, with a skill for violence and a secret to keep.","Crime, Drama, Thriller, Action"
"This Is 40",5.9,"2012-12-20",88200000,35000000,"en","Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart.","Comedy"
"Parental Guidance",6,"2012-12-25",119772232,25000000,"en","Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.","Comedy"
"Quartet",6.5,"2012-12-26",59520298,11000000,"en","Cissy, Reggie, and Wilf are in a home for retired musicians. Every year, there is a concert to celebrate Composer Giuseppe Verdi's birthday and they take part. Jean, who used to be married to Reggie, arrives at the home and disrupts their equilibrium. She still acts like a diva, but she refuses to sing. Still, the show must go on, and it does.","Drama, Comedy, Romance"
"The Best Offer",7.832,"2013-01-01",19255873,13500000,"it","Virgil Oldman is a world renowned antiques expert and auctioneer. An eccentric genius, he leads a solitary life, going to extreme lengths to keep his distance from the messiness of human relationships. When appointed by the beautiful but emotionally damaged Claire to oversee the valuation and sale of her family’s priceless art collection, Virgil allows himself to form an attachment to her – and soon he is engulfed by a passion which will rock his bland existence to the core.","Drama, Romance, Crime"
"Texas Chainsaw 3D",5.467,"2013-01-03",47300000,10000000,"en","A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.","Horror, Thriller"
"Gangster Squad",6.362,"2013-01-09",105200000,60000000,"en","Los Angeles, 1949. Ruthless, Brooklyn-born mob king Mickey Cohen runs the show in this town, reaping the ill-gotten gains from the drugs, the guns, the prostitutes and — if he has his way — every wire bet placed west of Chicago. And he does it all with the protection of not only his own paid goons, but also the police and the politicians who are under his control. It’s enough to intimidate even the bravest, street-hardened cop… except, perhaps, for the small, secret crew of LAPD outsiders led by Sgt. John O’Mara and Jerry Wooters who come together to try to tear Cohen’s world apart.","Crime, Drama, Action, Thriller"
"The Grandmaster",6.6,"2013-01-10",64076736,3860000,"cn","Ip Man's peaceful life in Foshan changes after Gong Yutian seeks an heir for his family in Southern China. Ip Man then meets Gong Er who challenges him for the sake of regaining her family's honor. After the Second Sino-Japanese War, Ip Man moves to Hong Kong and struggles to provide for his family. In the mean time, Gong Er chooses the path of vengeance after her father was killed by Ma San.","Action, Drama, History"
"Hansel & Gretel: Witch Hunters",6.044,"2013-01-17",226349749,50000000,"en","After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.","Fantasy, Horror, Action"
"Mama",6.259,"2013-01-17",146497771,15000000,"en","Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.","Horror"
"Broken City",5.933,"2013-01-18",34737199,56000000,"en","In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.","Thriller, Crime, Drama"
"The Kings of Summer",7.027,"2013-01-19",1400000,1500000,"en","Joe Toy, on the verge of adolescence, finds himself increasingly frustrated by his single father, Frank's attempts to manage his life. Declaring his freedom once and for all, he escapes to a clearing in the woods with his best friend, Patrick, and a strange kid named Biaggio. He announces that they are going to build a house there, free from responsibility and parents. Once their makeshift abode is finished, the three young men find themselves masters of their own destiny, alone in the woods.","Comedy, Drama"
"Parker",6.033,"2013-01-23",46216641,35000000,"en","A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.","Action, Crime"
"Movie 43",4.583,"2013-01-24",32400000,6000000,"en","Fifteen directors and an all-star cast created this twisted comedy that follows three teens on the hunt for the world's most banned film.","Comedy"
"Spring Breakers",5.222,"2013-01-24",31700000,5000000,"en","After four college girls rob a restaurant to fund their spring break in Florida, they get entangled with a weird dude with his own criminal agenda.","Drama, Crime"
"John Dies at the End",6.3,"2013-01-25",142000,1000000,"en","A new drug promises out-of-body experiences, but users are coming back changed forever, and an otherworldly invasion of Earth is underway.","Horror, Comedy"
"Vishwaroopam",6.2,"2013-01-25",51000000,17000000,"ta","Vishwanathan, a Kathak dance teacher in New York, is happy in his marriage with Nirupama, a nuclear oncologist who married him to pursue higher studies in the USA. Deciding to cut ties with her husband, Nirupama hires a private detective to monitor his activities. To her utter shock, certain truths about her husband are subsequently revealed, setting off a chain of events that will change both of their lives irreversibly.","Action, Thriller"
"Odd Thomas",6.941,"2013-01-29",1149267,27000000,"en","In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces.","Mystery, Thriller"
"The Berlin File",6.7,"2013-01-30",48965210,9000000,"ko","When an illicit arms deal goes bad, North Korean spy Pyo Jong-seong finds himself targeted not just by the South Koreans but also his own bosses.","Action, Thriller, Crime"
"A Good Day to Die Hard",5.3,"2013-02-06",304654182,92000000,"en","Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.","Action, Thriller"
"Identity Thief",5.861,"2013-02-07",173965010,35000000,"en","When a mild-mannered businessman learns his identity has been stolen, he hits the road in an attempt to foil the thief -- a trip that puts him in the path of a deceptively harmless-looking woman.","Comedy, Crime"
"Safe Haven",7.25,"2013-02-07",97600000,28000000,"en","A young woman with a mysterious past lands in Southport, North Carolina where her bond with a widower forces her to confront the dark secret that haunts her.","Romance, Thriller"
"Side Effects",6.591,"2013-02-07",63414135,30000000,"en","A woman turns to prescription medication as a way of handling her anxiety concerning her husband's upcoming release from prison.","Thriller, Crime, Drama"
"Special 26",7.279,"2013-02-07",18000000,7100000,"hi","In the early 1980s in India, a group of con artists rob well-known businessmen and politicians by posing as officers of the Central Bureau of Intelligence or income tax officials. The gang stages fake raids during which they steal great amounts of money from their targets.","Crime, Drama, Thriller"
"Spiders",4.435,"2013-02-08",257019,7000000,"en","After a Soviet space station crashes into a New York City subway tunnel, a species of venomous spiders is discovered, and soon they mutate to gigantic proportions and wreak havoc on the city.","Science Fiction, Thriller"
"Passion",5.226,"2013-02-13",713616,20000000,"en","The rivalry between the manipulative boss of an advertising agency and her talented protégée escalates from stealing credit to public humiliation to murder.","Thriller, Drama, Crime, Mystery"
"Jack the Giant Slayer",5.826,"2013-02-27",197700000,195000000,"en","The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.","Fantasy, Action, Adventure, Drama"
"Stoker",6.658,"2013-02-28",12077441,12000000,"en","After India Stoker's father dies, her Uncle Charlie, who she never knew existed, comes to live with her and her unstable mother. She comes to suspect this mysterious, charming man has ulterior motives and becomes increasingly infatuated with him.","Drama, Horror, Thriller"
"The Last Exorcism Part II",4.645,"2013-02-28",15200000,5000000,"en","As Nell Sweetzer tries to build a new life, the evil force that once possessed her returns with an even more horrific plan.","Horror, Thriller"
"The Call",6.795,"2013-03-14",68572378,13000000,"en","Jordan Turner is an experienced 911 operator but when she makes an error in judgment and a call ends badly, Jordan is rattled and unsure if she can continue. But when teenager Casey Welson is abducted in the back of a man's car and calls 911, Jordan is the one called upon to use all of her experience, insights and quick thinking to help Casey escape, and not just to save her, but to make sure the man is brought to justice.","Crime, Thriller"
"Olympus Has Fallen",6.394,"2013-03-20",170270201,70000000,"en","When the White House (Secret Service Code: """"Olympus"""") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.","Action, Thriller"
"The Place Beyond the Pines",6.967,"2013-03-20",47135966,15000000,"en","A motorcycle stunt rider considers committing a crime in order to provide for his wife and child, an act that puts him on a collision course with a cop-turned-politician.","Drama, Crime"
"The Host",6.285,"2013-03-22",63300000,44000000,"en","A parasitic alien soul is injected into the body of Melanie Stryder. Instead of carrying out her race's mission of taking over the Earth, """"Wanda"""" (as she comes to be called) forms a bond with her host and sets out to aid other free humans.","Action, Adventure, Science Fiction"
"G.I. Joe: Retaliation",5.624,"2013-03-27",371900000,130000000,"en","Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.","Action, Science Fiction, Adventure"
"Trance",6.629,"2013-03-27",24300000,20000000,"en","A violent gang enlists the help of a hypnotherapist in an attempt to locate a painting which somehow vanished in the middle of a heist.","Thriller, Crime, Drama, Mystery"
"Pee Mak",7.241,"2013-03-28",33000000,1800000,"th","Mak's friends just want to protect him, but his wife Nak won't let a small thing like her own death get in the way of true love in this horror-comedy.","Comedy, Romance, Horror"
"Himmatwala",3.159,"2013-03-29",6800000,9500000,"hi","When a temple priest commits suicide after being dishonored by an evil landlord, his son returns to his native village on a mission of vengeance.","Action, Comedy, Drama"
"Temptation: Confessions of a Marriage Counselor",6.6,"2013-03-29",53143144,37000000,"en","Judith has known her husband Brice since they were children, but now their marriage is growing stale. Having just completed her graduate work in psychotherapy, she's eager to begin a career as a marriage counselor. She takes an internship at a matchmaking firm for millionaires and meets Harley, a charismatic billionaire investor who makes no effort to hide his attraction to Judith. Although quite resistant at first, eventually Judith succumbs to his charms, placing her marriage in jeopardy and forever altering the course of her life.","Drama"
"Before Midnight",7.513,"2013-04-05",11176469,3000000,"en","It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. They now live in Paris with twin daughters but have spent a summer in Greece at the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.","Romance, Drama"
"Evil Dead",6.5,"2013-04-05",97542952,17000000,"en","Mia, a drug addict, is determined to kick the habit. To that end, she asks her brother, David, his girlfriend, Natalie and their friends Olivia (Jessica Lucas) and Eric (Lou Taylor Pucci) to accompany her to their family's remote forest cabin to help her through withdrawal. Eric finds a mysterious Book of the Dead at the cabin and reads aloud from it, awakening an ancient demon. All hell breaks loose when the malevolent entity possesses Mia.","Horror"
"Oblivion",6.63,"2013-04-10",286168572,120000000,"en","Jack Harper is one of the last few drone repairmen stationed on Earth. Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete. His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft. Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.","Action, Science Fiction, Adventure, Mystery"
"Scary Movie 5",4.81,"2013-04-11",78400000,20000000,"en","Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.","Comedy"
"Disconnect",7,"2013-04-12",3428048,10000000,"en","Disconnect interweaves multiple storylines about people searching for human connection in today’s wired world. Through poignant turns that are both harrowing and touching, the stories intersect with surprising twists that expose a shocking reality into our daily use of technology that mediates and defines our relationships and ultimately our lives.","Drama, Thriller"
"Ek Thi Daayan",5.019,"2013-04-18",6500000,3500000,"hi","A popular magician seeks help from a psychiatrist to protect him from a witch that has haunted him since childhood.","Horror, Romance, Thriller"
"Iron Man 3",6.927,"2013-04-18",1215577205,200000000,"en","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","Action, Adventure, Science Fiction"
"Pain & Gain",6.261,"2013-04-18",87305549,25000000,"en","Daniel Lugo, manager of the Sun Gym in 1990s Miami, decides that there is only one way to achieve his version of the American dream: extortion. To achieve his goal, he recruits musclemen Paul and Adrian as accomplices. After several failed attempts, they abduct rich businessman Victor Kershaw and convince him to sign over all his assets to them. But when Kershaw makes it out alive, authorities are reluctant to believe his story.","Action, Crime, Comedy"
"The Lords of Salem",5.438,"2013-04-18",1165882,1500000,"en","Heidi, a radio DJ, is sent a box containing a record - a """"gift from the Lords"""". The sounds within the grooves trigger flashbacks of her town's violent past. Is Heidi going mad, or are the Lords back to take revenge on Salem, Massachusetts?","Horror, Thriller"
"The Reluctant Fundamentalist",6.632,"2013-04-24",2200000,15000000,"en","In New York, a Pakistani native finds that his American Dream has collapsed in the wake of the 9/11 terrorist attacks.","Thriller"
"The Big Wedding",5.876,"2013-04-25",21800000,35000000,"en","To the amusement of their adult children and friends, long-divorced couple Don and Ellie Griffin are forced to play the happy couple for the sake of their adopted son's wedding after his ultra conservative Catholic biological mother unexpectedly decides to fly halfway across the world to attend. With all of the wedding guests looking on, the Griffins are hilariously forced to confront their past, present and future - and hopefully avoid killing each other in the process.","Comedy"
"The Machine",5.9,"2013-04-25",314131,1500000,"en","Already deep into a second Cold War, Britain’s Ministry of Defense seeks a game-changing weapon. Programmer Vincent McCarthy unwittingly provides an answer in The Machine, a super-strong human cyborg. When a programming bug causes the prototype to decimate his lab, McCarthy takes his obsessive efforts underground, far away from inquisitive eyes.","Science Fiction, Thriller"
"Aashiqui 2",6.92,"2013-04-26",16000000,1300000,"hi","A young woman meets a failing musician who launches her singing career, but their relationship is doomed when people assume he's with her for her fame and fortune.","Drama, Romance"
"Mud",7.063,"2013-04-26",32613173,10000000,"en","Two boys find a fugitive hiding out on an island in the Mississippi River and form a pact to help him reunite with his lover and escape.","Drama"
"Soodhu Kavvum",7.067,"2013-05-01",12000000,310000,"ta","Dass specialises in small time kidnapping and has his own set of rules. The primary and most important among them is not to get involved with influential people. Three jobless youngsters meet Dass and the four take up an assignment for a hefty sum that throws away this primary rule and end up being chased by a dreaded policeman.","Comedy, Thriller, Crime"
"Hotel California",4.3,"2013-05-02",382454,858572,"ml","Hotel California is an 2013 Malayalam action comedy film written by Anoop Menon and directed by Aji John, starring Jayasurya, Anoop Menon, Honey Rose, Maria Roy and Aparna Nair.","Comedy, Drama, Thriller"
"What Maisie Knew",7.1,"2013-05-02",2711379,6000000,"en","The story frames on 7-year-old Maisie, caught in a custody battle between her mother – a rock and roll icon – and her father. What Maisie Knew is an evocative portrayal of the chaos of adult life seen entirely from a child’s point of view.","Drama"
"Star Trek Into Darkness",7.327,"2013-05-05",467400000,190000000,"en","When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.","Action, Adventure, Science Fiction"
"Hummingbird",6.167,"2013-05-07",8352885,20000000,"en","Homeless and on the run from a military court martial, a damaged ex-special forces soldier navigating London's criminal underworld seizes an opportunity to assume another man's identity, transforming into an avenging angel in the process.","Action, Thriller"
"The Great Gatsby",7.373,"2013-05-09",351040419,105000000,"en","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.","Drama, Romance"
"Go Goa Gone",5.722,"2013-05-10",5400000,2700000,"hi","A rave party off the coast of Goa goes horrifyingly and hilariously wrong when the island is overrun with zombies.","Comedy, Horror"
"Epic",6.495,"2013-05-15",268426634,100000000,"en","A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.","Animation, Adventure, Family, Fantasy"
"Fast & Furious 6",6.8,"2013-05-21",788700000,160000000,"en","Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries; Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty.","Action, Thriller, Crime"
"The Hangover Part III",6.207,"2013-05-23",362000072,103000000,"en","This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.","Comedy"
"Now You See Me",7.345,"2013-05-29",351700000,75000000,"en","An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.","Thriller, Crime"
"After Earth",5.193,"2013-05-30",243843127,130000000,"en","One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.","Science Fiction, Action, Adventure"
"Only God Forgives",5.9,"2013-05-30",10300000,4800000,"en","Julian, who runs a Thai boxing club as a front organization for his family's drug smuggling operation, is forced by his mother Crystal to find and kill the individual responsible for his brother's recent death.","Drama, Thriller, Crime"
"The East",6.54,"2013-05-31",2401510,6500000,"en","An operative for an elite private intelligence firm finds her priorities irrevocably changed after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.","Drama, Thriller"
"The Purge",6.258,"2013-05-31",89328627,3000000,"en","Given the country's overcrowded prisons, the U.S. government begins to allow 12-hour periods of time in which all illegal activity is legal. During one of these free-for-alls, a family must protect themselves from a home invasion.","Science Fiction, Horror, Thriller"
"Yeh Jawaani Hai Deewani",7.2,"2013-05-31",46000000,7700000,"hi","Bunny and Naina meet when they graduate from college and again in their late 20s.","Romance, Comedy"
"The Way Way Back",7.154,"2013-06-06",23198652,4600000,"en","Shy 14-year-old Duncan goes on summer vacation with his mother, her overbearing boyfriend, and her boyfriend's daughter. Having a rough time fitting in, Duncan finds an unexpected friend in Owen, manager of the Water Wizz water park.","Comedy, Drama"
"The Internship",6.25,"2013-06-07",44000000,58000000,"en","Two recently laid-off men in their 40s try to make it as interns at a successful Internet company where their managers are in their 20s.","Comedy"
"This Is the End",6.223,"2013-06-12",126041322,32000000,"en","While attending a party at James Franco's house, Seth Rogen, Jay Baruchel and many other celebrities are faced with the apocalypse.","Action, Comedy"
"Fukrey",6.524,"2013-06-14",5200000,2200000,"hi","The paths of four dream-chasing college friends cross with an array of colourful characters, from a tough-talking Punjabi female don to a Jugaad Baaz college watchman. Mayhem ensues.","Comedy, Drama, Romance"
"Monsters University",7.031,"2013-06-19",743600000,200000000,"en","A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.","Animation, Family"
"World War Z",6.811,"2013-06-19",531865000,200000000,"en","Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","Action, Drama, Horror, Science Fiction, Thriller"
"The Heat",6.6,"2013-06-27",158674180,43000000,"en","Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: buddies.","Action, Comedy, Crime"
"White House Down",6.456,"2013-06-27",205366737,150000000,"en","Capitol Policeman John Cale has just been denied his dream job with the Secret Service of protecting President James Sawyer. Not wanting to let down his little girl with the news, he takes her on a tour of the White House, when the complex is overtaken by a heavily armed paramilitary group. Now, with the nation's government falling into chaos and time running out, it's up to Cale to save the president, his daughter, and the country.","Action, Drama, Thriller"
"The Lone Ranger",6.1,"2013-07-03",260500000,215000000,"en","The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.","Action, Adventure, Western"
"Man of Tai Chi",6.079,"2013-07-04",2054941,25000000,"en","In Beijing, a young martial artist's skill places him in position to experience opportunities and sacrifices.","Action, Drama"
"A Field in England",6.198,"2013-07-05",600000,300000,"en","During the Civil War in 17th-Century England, a small group of deserters flee from a raging battle through an overgrown field. They are captured by an alchemist, who forces the group to aid him in his search to find a hidden treasure that he believes is buried in the field. Crossing a vast mushroom circle, which provides their first meal, the group quickly descend into a chaos of arguments, fighting and paranoia, and, as it becomes clear that the treasure might be something other than gold, they slowly become victim to the terrifying energies trapped inside the field.","Drama, History, Horror, Thriller, Fantasy"
"Grown Ups 2",6.12,"2013-07-11",247022278,80000000,"en","Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school.","Comedy"
"Pacific Rim",6.888,"2013-07-11",411000000,180000000,"en","Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes who now stand as earth's final hope against the mounting apocalypse.","Action, Science Fiction, Adventure"
"The Frozen Ground",6.264,"2013-07-11",5496951,27220000,"en","An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.","Thriller, Crime"
"Bhaag Milkha Bhaag",7.413,"2013-07-12",25000000,4600000,"hi","The true story of the """"Flying Sikh"""" world champion runner and Olympian Milkha Singh who overcame the massacre of his family, civil war during the India-Pakistan partition, and homelessness to become one of India's most iconic athletes.","History, Action, Drama"
"Kick-Ass 2",6.397,"2013-07-17",60700000,28000000,"en","After Kick-Ass’ insane bravery inspires a new wave of self-made masked crusaders, he joins a patrol led by the Colonel Stars and Stripes. When these amateur superheroes are hunted down by Red Mist — reborn as The Mother Fucker — only the blade-wielding Hit-Girl can prevent their annihilation.","Action, Adventure, Crime"
"R.I.P.D.",5.8,"2013-07-18",61600000,130000000,"en","A recently slain cop joins a team of undead police officers working for the Rest in Peace Department and tries to find the man who murdered him.","Fantasy, Action, Comedy"
"The Conjuring",7.5,"2013-07-18",320400000,13000000,"en","Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.","Horror, Thriller"
"The World's End",6.795,"2013-07-18",46100000,20000000,"en","Five friends who reunite in an attempt to top their epic pub crawl from 20 years earlier unwittingly become humankind's only hope for survival.","Comedy, Action, Science Fiction"
"Ramaiya Vastavaiya",6.226,"2013-07-19",7300000,4600000,"hi","A wealthy NRI falls hard for a country girl during a visit to his homeland.","Romance, Action, Comedy"
"Instructions Not Included",7.727,"2013-07-20",99067206,5500000,"es","Valentin is Acapulco's resident playboy, until a former fling leaves a baby on his doorstep and him heading with her out of Mexico.","Comedy, Drama"
"The Wind Rises",7.78,"2013-07-20",117932401,30000000,"ja","A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.","Drama, Animation, Romance, War"
"The Wolverine",6.407,"2013-07-21",415440673,120000000,"en","Wolverine faces his ultimate nemesis - and tests of his physical, emotional, and mortal limits - in a life-changing voyage to modern-day Japan.","Action, Science Fiction, Adventure"
"The To Do List",5.8,"2013-07-24",3566225,1500000,"en","Feeling pressured to become more sexually experienced before she goes to college, Brandy Klark makes a list of things to accomplish before hitting campus in the fall.","Comedy, Romance"
"Fruitvale Station",7.359,"2013-07-26",17600000,900000,"en","Oakland, California. Young Afro-American Oscar Grant crosses paths with family members, friends, enemies and strangers before facing his fate on the platform at Fruitvale Station, in the early morning hours of New Year's Day 2009.","Drama"
"The Smurfs 2",5.761,"2013-07-30",347434178,105000000,"en","The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?","Fantasy, Family, Comedy, Animation"
"Snowpiercer",6.903,"2013-08-01",86758912,39200000,"ko","In a future where a failed global-warming experiment kills off most life on the planet, a class system evolves aboard the Snowpiercer, a train that travels around the globe via a perpetual-motion engine.","Action, Science Fiction, Drama"
"The Spectacular Now",6.648,"2013-08-02",6854611,2500000,"en","Sutter, a popular party animal, unexpectedly meets the introverted Aimee after waking up on a stranger's lawn. As Sutter deals with the problems in his life and Aimee plans for her future beyond school, an unexpected romance blossoms between them.","Comedy, Drama, Romance"
"Elysium",6.504,"2013-08-07",286140700,115000000,"en","In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes, a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.","Science Fiction, Action, Drama, Thriller"
"We're the Millers",6.8,"2013-08-07",270000000,37000000,"en","A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.","Comedy, Crime"
"Chennai Express",6.505,"2013-08-08",62000000,18000000,"hi","Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.","Romance, Comedy, Action"
"Lovelace",6.032,"2013-08-08",1585582,10000000,"en","Story of Linda Lovelace, who is used and abused by the porn industry at the behest of her coercive husband, before taking control of her life.","Drama"
"In a World...",6.388,"2013-08-09",2963902,1000000,"en","An underachieving vocal coach is motivated by her father, the king of movie-trailer voice-overs, to pursue her aspirations of becoming a voice-over star. Amidst pride, sexism and family dysfunction, she sets out to change the voice of a generation.","Comedy"
"Paranoia",5.732,"2013-08-14",17056265,35000000,"en","An entry-level employee at a powerful corporation finds himself occupying a corner office, but at a dangerous price—he must spy on his boss's old mentor to secure for him a multi-billion dollar advantage.","Drama, Thriller"
